Date,Open,High,Low,Close,Adj Close,Volume
2018-08-21,137.000000,137.429993,135.300003,135.350006,133.603165,5832100
2018-08-22,135.559998,135.679993,134.419998,134.610001,132.872711,4688400
2018-08-23,134.610001,135.490005,134.100006,135.110001,133.366272,5057600
2018-08-24,135.110001,136.149994,134.830002,135.949997,134.195435,4809400
2018-08-27,135.500000,136.050003,134.210007,134.919998,134.066254,4325900
2018-08-28,134.779999,134.899994,133.889999,134.320007,133.470062,6037500
2018-08-29,134.320007,134.940002,133.940002,134.860001,134.006638,4648700
2018-08-30,134.699997,135.600006,134.600006,134.949997,134.096054,4821900
2018-08-31,134.600006,135.000000,133.970001,134.690002,133.837708,6139500
2018-09-04,134.690002,134.750000,133.440002,133.720001,132.873840,4406800
2018-09-05,133.479996,135.940002,133.460007,135.860001,135.000305,6174800
2018-09-06,135.500000,137.309998,135.179993,136.869995,136.003906,6562000
2018-09-07,136.779999,137.690002,135.750000,137.320007,136.451080,6375200
2018-09-10,137.529999,138.470001,137.059998,137.210007,136.341766,4892200
2018-09-11,137.639999,138.910004,137.220001,138.509995,137.633530,7856800
2018-09-12,138.899994,139.990005,138.559998,139.360001,138.478165,6767700
2018-09-13,139.889999,140.479996,139.020004,139.889999,139.004807,6456100
2018-09-14,140.000000,140.350006,139.100006,139.490005,138.607346,4534800
2018-09-17,139.330002,140.399994,139.179993,139.960007,139.074371,5295500
2018-09-18,140.270004,140.839996,139.830002,140.539993,139.650681,4581200
2018-09-19,140.759995,140.990005,140.050003,140.460007,139.571198,5049900
2018-09-20,140.820007,142.139999,140.509995,141.979996,141.081573,5019300
2018-09-21,142.179993,143.130005,141.690002,142.880005,141.975891,13283400
2018-09-24,142.100006,142.500000,140.229996,140.470001,139.581131,6708000
2018-09-25,140.529999,140.960007,138.399994,138.639999,137.762711,7982800
2018-09-26,138.949997,140.000000,137.960007,138.160004,137.285751,7133300
2018-09-27,138.449997,139.580002,137.570007,138.220001,137.345367,6450500
2018-09-28,138.100006,138.559998,137.410004,138.169998,137.295685,6638500
2018-10-01,138.259995,139.850006,138.000000,139.690002,138.806076,4871800
2018-10-02,139.789993,140.729996,139.649994,140.479996,139.591064,6439100
2018-10-03,140.539993,141.270004,138.880005,139.029999,138.150238,5411800
2018-10-04,138.550003,139.529999,137.320007,139.350006,138.468231,4738700
2018-10-05,139.800003,140.250000,138.559998,139.100006,138.219803,4309300
2018-10-08,138.899994,139.679993,138.619995,139.389999,138.507965,5174100
2018-10-09,138.740005,139.619995,137.809998,139.199997,138.319168,4475300
2018-10-10,139.350006,140.460007,137.729996,137.729996,136.858459,7265600
2018-10-11,137.910004,138.660004,132.880005,133.839996,132.993088,11603200
2018-10-12,134.399994,134.410004,132.229996,133.869995,133.022888,6998000
2018-10-15,133.880005,135.300003,133.509995,133.949997,133.102386,6398700
2018-10-16,134.750000,137.990005,134.750000,136.559998,135.695877,9592800
2018-10-17,136.229996,140.000000,136.210007,139.460007,138.577530,8261100
2018-10-18,139.199997,139.809998,137.710007,139.500000,138.617264,7583900
2018-10-19,138.339996,140.000000,137.910004,139.050003,138.170120,5924800
2018-10-22,138.610001,139.259995,138.139999,138.679993,137.802460,4864300
2018-10-23,137.789993,139.490005,137.449997,138.929993,138.050873,8282700
2018-10-24,138.520004,140.110001,137.169998,137.470001,136.600113,8279200
2018-10-25,137.460007,139.089996,135.050003,138.470001,137.593796,9720700
2018-10-26,137.940002,139.300003,135.330002,136.970001,136.103287,11371400
2018-10-29,136.990005,139.100006,136.220001,137.550003,136.679611,6783000
2018-10-30,137.929993,141.100006,137.000000,140.750000,139.859360,9646200
2018-10-31,141.000000,141.429993,139.610001,139.990005,139.104172,9968900
2018-11-01,140.070007,141.580002,139.850006,140.820007,139.928925,6913500
2018-11-02,141.970001,142.000000,139.660004,140.679993,139.789795,7673200
2018-11-05,141.000000,142.740005,139.000000,142.199997,141.300186,5601400
2018-11-06,141.529999,142.830002,141.059998,142.570007,141.667847,5798900
2018-11-07,143.100006,144.869995,142.970001,144.750000,143.834045,7173600
2018-11-08,144.309998,145.789993,144.000000,145.300003,144.380569,5497100
2018-11-09,145.039993,145.740005,144.380005,145.339996,144.420319,5343100
2018-11-12,144.990005,146.240005,144.729996,145.619995,144.698547,7013600
2018-11-13,146.190002,146.750000,143.419998,144.679993,143.764481,7432300
2018-11-14,145.020004,145.309998,143.559998,144.250000,143.337219,6433100
2018-11-15,143.410004,144.509995,142.479996,144.500000,143.585632,6657900
2018-11-16,144.710007,146.740005,144.550003,145.990005,145.066208,8494300
2018-11-19,146.429993,148.440002,146.369995,147.729996,146.795181,8714600
2018-11-20,147.500000,148.750000,146.350006,146.449997,145.523285,8937700
2018-11-21,146.229996,146.229996,140.779999,141.990005,141.091522,10275400
2018-11-23,141.850006,142.729996,141.600006,142.229996,141.329987,3404900
2018-11-26,142.000000,142.050003,140.720001,141.369995,141.369995,7590900
2018-11-27,140.570007,143.350006,139.660004,143.220001,143.220001,5962100
2018-11-28,143.830002,146.559998,143.360001,146.440002,146.440002,8411400
2018-11-29,145.619995,147.199997,144.839996,145.850006,145.850006,6900000
2018-11-30,145.339996,147.000000,145.100006,146.899994,146.899994,12517600
2018-12-03,145.570007,146.630005,144.940002,146.210007,146.210007,8827200
2018-12-04,146.320007,148.990005,145.820007,146.029999,146.029999,9803500
2018-12-06,144.500000,146.449997,142.789993,145.910004,145.910004,11572500
2018-12-07,145.490005,147.339996,144.119995,145.429993,145.429993,9444500
2018-12-10,145.389999,145.880005,142.380005,145.259995,145.259995,6848100
2018-12-11,146.289993,148.210007,145.789993,146.500000,146.500000,9857400
2018-12-12,147.000000,148.490005,147.000000,147.100006,147.100006,8869200
2018-12-13,146.960007,148.589996,146.800003,147.839996,147.839996,6008300
2018-12-14,144.339996,145.380005,130.199997,133.000000,133.000000,58140200
2018-12-17,128.320007,131.649994,126.830002,129.139999,129.139999,36933100
2018-12-18,132.050003,132.800003,129.199997,130.419998,130.419998,24640100
2018-12-19,129.869995,131.350006,127.089996,127.610001,127.610001,21232100
2018-12-20,127.720001,129.750000,126.760002,128.270004,128.270004,16609600
2018-12-21,127.800003,130.600006,127.120003,128.089996,128.089996,19732900
2018-12-24,127.300003,128.000000,121.000000,122.839996,122.839996,7531900
2018-12-26,123.419998,126.760002,122.010002,126.709999,126.709999,9253000
2018-12-27,125.870003,127.410004,123.070000,127.410004,127.410004,9918700
2018-12-28,127.910004,128.750000,126.750000,127.269997,127.269997,6537200
2018-12-31,128.179993,129.550003,127.419998,129.050003,129.050003,7409900
2019-01-02,128.130005,128.380005,126.279999,127.750000,127.750000,7631700
2019-01-03,128.139999,128.270004,125.360001,125.720001,125.720001,8654500
2019-01-04,127.120003,128.649994,126.730003,127.830002,127.830002,8831700
2019-01-07,127.629997,128.350006,126.800003,127.010002,127.010002,8404700
2019-01-08,128.179993,130.500000,127.730003,129.960007,129.960007,9315100
